Date,Forecast
2021-05-31,2228815.967270473
2021-06-30,2243430.748521414
2021-07-31,2258045.529772355
2021-08-31,2272660.3110232963
2021-09-30,2287275.0922742374
2021-10-31,2301889.8735251785
2021-11-30,2316504.6547761196
2021-12-31,2331119.4360270607
2022-01-31,2345734.217278002
2022-02-28,2360348.998528943
2022-03-31,2374963.779779884
2022-04-30,2389578.561030825
2022-05-31,2404193.3422817662
2022-06-30,2418808.1235327073
2022-07-31,2433422.9047836484
2022-08-31,2448037.6860345895
2022-09-30,2462652.4672855306
2022-10-31,2477267.2485364717
2022-11-30,2491882.029787413
2022-12-31,2506496.811038354
2023-01-31,2521111.592289295
2023-02-28,2535726.373540236
2023-03-31,2550341.1547911773
2023-04-30,2564955.9360421184
2023-05-31,2579570.7172930595
2023-06-30,2594185.4985440006
2023-07-31,2608800.2797949417
2023-08-31,2623415.0610458828
2023-09-30,2638029.842296824
2023-10-31,2652644.623547765
2023-11-30,2667259.404798706
2023-12-31,2681874.186049647
2024-01-31,2696488.9673005883
2024-02-29,2711103.7485515294
2024-03-31,2725718.5298024705
2024-04-30,2740333.3110534116
2024-05-31,2754948.0923043527
2024-06-30,2769562.873555294
2024-07-31,2784177.654806235
2024-08-31,2798792.436057176
2024-09-30,2813407.217308117
2024-10-31,2828021.998559058
2024-11-30,2842636.7798099993
2024-12-31,2857251.5610609404
2025-01-31,2871866.3423118815
2025-02-28,2886481.1235628226
2025-03-31,2901095.9048137637
2025-04-30,2915710.686064705
2025-05-31,2930325.467315646
2025-06-30,2944940.248566587
2025-07-31,2959555.029817528
2025-08-31,2974169.811068469
2025-09-30,2988784.5923194103
2025-10-31,3003399.3735703514
2025-11-30,3018014.1548212925
2025-12-31,3032628.9360722336
2026-01-31,3047243.7173231747
2026-02-28,3061858.498574116
2026-03-31,3076473.279825057
2026-04-30,3091088.061075998
2026-05-31,3105702.842326939
2026-06-30,3120317.62357788
2026-07-31,3134932.4048288213
2026-08-31,3149547.1860797624
2026-09-30,3164161.9673307035
2026-10-31,3178776.7485816446
2026-11-30,3193391.5298325857
2026-12-31,3208006.311083527
2027-01-31,3222621.092334468
2027-02-28,3237235.873585409
2027-03-31,3251850.65483635
2027-04-30,3266465.436087291
