Date,Forecast
2021-05-31,3681845.339291481
2021-06-30,3693809.9612507964
2021-07-31,3697396.3384493766
2021-08-31,3696835.4772241293
2021-09-30,3694221.7293817857
2021-10-31,3690591.8008833122
2021-11-30,3686458.8620786224
2021-12-31,3682076.9327360457
2022-01-31,3677571.752861242
2022-02-28,3673005.563866078
2022-03-31,3668409.175303417
2022-04-30,3663797.8379286495
2022-05-31,3659179.100878923
2022-06-30,3654556.700983674
2022-07-31,3649932.487976713
2022-08-31,3645307.377477883
2022-09-30,3640681.822719799
2022-10-31,3636056.0480529987
2022-11-30,3631430.164531193
2022-12-31,3626804.2271260656
2023-01-31,3622178.263048647
2023-02-28,3617552.2857684214
2023-03-31,3612926.3019527947
2023-04-30,3608300.3149021384
2023-05-31,3603674.32625014
2023-06-30,3599048.336805476
2023-07-31,3594422.3469684417
2023-08-31,3589796.3569371835
2023-09-30,3585170.366809785
2023-10-31,3580544.376634796
2023-11-30,3575918.3864362505
2023-12-31,3571292.3962260443
2024-01-31,3566666.4060100657
2024-02-29,3562040.4157912303
2024-03-31,3557414.42557098
2024-04-30,3552788.43535003
2024-05-31,3548162.4451287338
2024-06-30,3543536.4549072655
2024-07-31,3538910.4646857125
2024-08-31,3534284.4744641175
2024-09-30,3529658.4842425017
2024-10-31,3525032.4940208755
2024-11-30,3520406.5037992443
2024-12-31,3515780.5135776107
2025-01-31,3511154.5233559757
2025-02-28,3506528.5331343403
2025-03-31,3501902.5429127044
2025-04-30,3497276.5526910685
2025-05-31,3492650.562469432
2025-06-30,3488024.5722477958
2025-07-31,3483398.5820261594
2025-08-31,3478772.591804523
2025-09-30,3474146.6015828867
2025-10-31,3469520.6113612503
2025-11-30,3464894.621139614
2025-12-31,3460268.6309179775
2026-01-31,3455642.640696341
2026-02-28,3451016.650474705
2026-03-31,3446390.6602530684
2026-04-30,3441764.670031432
2026-05-31,3437138.6798097957
2026-06-30,3432512.6895881593
2026-07-31,3427886.699366523
2026-08-31,3423260.7091448866
2026-09-30,3418634.71892325
2026-10-31,3414008.728701614
2026-11-30,3409382.7384799775
2026-12-31,3404756.748258341
2027-01-31,3400130.7580367047
2027-02-28,3395504.7678150684
2027-03-31,3390878.777593432
2027-04-30,3386252.7873717956
