DATE,GASOLINE,DIESEL,Production-OIL,Imports,Exports,Equivalent Products Production
01/01/2016,0.96,0.95,"18,671,861","3,949,015","16,439,292","1,304,885"
02/01/2016,0.9,0.89,"17,350,331","3,157,953","14,740,817","1,218,465"
03/01/2016,0.97,0.93,"18,216,851","4,383,555","15,547,041","1,300,061"
04/01/2016,1.02,0.91,"15,965,471","4,218,647","14,069,660","1,269,557"
05/01/2016,1.07,0.96,"13,479,770","4,491,754","13,998,905","1,288,193"
06/01/2016,1.09,1.01,"14,435,436","4,072,114","13,335,696","1,260,145"
07/01/2016,1.04,1,"17,587,983","4,671,124","13,747,030","1,382,651"
08/01/2016,1.04,0.97,"18,598,656","4,307,957","15,578,325","1,314,750"
09/01/2016,1.05,0.98,"17,910,062","3,263,943","14,785,189","1,328,667"
10/01/2016,1.08,1.03,"18,815,685","3,134,153","15,245,116","1,214,059"
11/01/2016,1.02,1.03,"19,325,313","3,697,764","16,320,837","1,340,772"
12/01/2016,1.09,1.07,"19,123,733","3,605,053","16,803,929","1,385,982"
01/01/2017,1.14,1.11,"19,787,214","4,296,920","16,699,380","1,428,229"
02/01/2017,1.09,1.1,"18,026,165","3,726,003","15,289,511","1,283,131"
03/01/2017,1.1,1.09,"18,894,074","3,828,091","16,611,271","1,451,707"
04/01/2017,1.18,1.09,"16,637,247","4,132,558","16,196,764","1,396,290"
05/01/2017,1.14,1.07,"17,767,171","4,778,081","16,864,265","1,540,783"
06/01/2017,1.09,1.05,"17,710,184","4,452,888","15,705,404","1,464,590"
07/01/2017,1.1,1.03,"19,203,977","4,356,598","16,121,600","1,655,185"
08/01/2017,1.13,1.05,"20,061,663","3,187,948","16,019,109","1,592,873"
09/01/2017,1.18,1.09,"18,374,732","3,742,173","15,564,792","1,651,147"
10/01/2017,1.16,1.12,"18,749,360","3,622,706","16,172,912","1,850,184"
11/01/2017,1.23,1.2,"19,689,051","3,501,596","15,039,104","1,844,310"
12/01/2017,1.2,1.22,"20,683,576","4,054,066","16,258,090","1,927,328"
01/01/2018,1.24,1.25,"19,890,527","3,913,830","17,438,326","1,885,008"
02/01/2018,1.23,1.25,"18,639,271","3,645,381","15,844,538","1,699,898"
03/01/2018,1.27,1.25,"20,730,877","3,970,323","17,898,672","1,988,657"
04/01/2018,1.35,1.27,"18,548,461","3,660,995","17,863,995","1,840,515"
05/01/2018,1.39,1.32,"20,181,597","4,060,075","18,424,767","1,863,996"
06/01/2018,1.36,1.33,"19,455,841","3,596,401","17,371,017","1,843,507"
07/01/2018,1.37,1.31,"20,654,968","3,999,030","17,496,198","2,027,122"
08/01/2018,1.34,1.28,"21,659,666","4,417,272","17,935,298","2,128,487"
09/01/2018,1.34,1.3,"19,271,848","3,515,819","16,879,788","1,997,616"
10/01/2018,1.29,1.33,"21,267,181","3,115,687","17,906,840","2,217,491"
11/01/2018,1.16,1.32,"20,903,287","2,772,496","18,216,664","2,144,419"
12/01/2018,1.09,1.22,"21,687,084","3,389,480","18,596,917","2,205,830"
01/01/2019,1.07,1.17,"20,379,646","4,416,603","19,079,599","2,069,624"
02/01/2019,1.1,1.19,"18,537,336","3,990,040","15,955,372","1,827,533"
03/01/2019,1.22,1.23,"20,792,430","4,221,106","18,376,746","2,079,564"
04/01/2019,1.33,1.27,"20,479,552","4,652,262","18,048,213","2,097,539"
05/01/2019,1.34,1.29,"20,301,400","5,456,943","18,929,063","2,168,182"
06/01/2019,1.22,1.22,"20,381,835","3,464,141","18,700,244","2,061,553"
07/01/2019,1.27,1.19,"21,009,421","4,770,400","19,568,519","2,118,660"
08/01/2019,1.21,1.18,"21,006,455","5,152,707","18,702,085","2,221,818"
09/01/2019,1.2,1.2,"19,753,991","4,253,811","17,439,259","2,124,669"
10/01/2019,1.21,1.25,"20,973,161","4,498,610","17,933,006","2,187,201"
11/01/2019,1.18,1.28,"20,934,543","4,563,337","17,038,048","2,229,423"
12/01/2019,1.17,1.28,"22,204,363","4,114,288","19,616,286","2,246,410"
01/01/2020,1.17,1.28,"21,576,432","5,497,132","19,518,347","2,091,412"
02/01/2020,1.15,1.22,"20,458,561","4,272,493","18,805,992","2,077,545"
03/01/2020,0.94,1.08,"21,541,202","4,069,376","19,848,989","2,202,883"
