Supply and disposition of crude oil and equivalent c 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 25-10-0063-01 (formerly CANSIM 126-0003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Geographical region of Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply and disposition 2,Units of measure,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22
Crude oil production,Cubic metres,"18,671,861","17,350,331","18,216,851","15,965,471","13,479,770","14,435,436","17,587,983","18,598,656","17,910,062","18,815,685","19,325,313","19,123,733","19,787,214","18,026,165","18,894,074","16,637,247","17,767,171","17,710,184","19,203,977","20,061,663","18,374,732","18,749,360","19,689,051","20,683,576","19,890,527","18,639,271","20,730,877","18,548,461","20,181,597","19,455,841","20,654,968","21,659,666","19,271,848","21,267,181","20,903,287","21,687,084","20,379,646","18,537,336","20,792,430","20,479,552","20,301,400","20,381,835","21,009,421","21,006,455","19,753,991","20,973,161","20,934,543","22,204,363","21,576,432","20,458,561","21,541,202","17,993,844","17,407,436","17,954,378","18,503,537","18,358,183","18,245,138","19,752,374","20,685,369","22,201,425","21,883,465","18,877,971","21,416,689","19,123,431","19,923,243","20,513,827","21,425,160","21,096,255","20,098,090","22,150,741","21,495,648","21,256,498","20,730,694","19,673,293","21,901,980","20,606,758","20,477,867","20,244,676","21,903,054","22,076,930","21,401,003","22,007,811"
,Barrels,"117,442,271","109,130,112","114,580,349","100,419,619","84,785,057","90,796,005","110,624,895","116,981,827","112,650,708","118,346,896","121,552,354","120,284,456","124,457,619","113,380,973","118,839,947","104,644,956","111,751,952","111,393,515","120,789,175","126,183,848","115,573,389","117,929,725","123,840,193","130,095,556","125,107,437","117,237,287","130,393,070","116,666,110","126,938,209","122,373,349","129,915,618","136,234,967","121,216,070","133,766,315","131,477,495","136,407,421","128,183,897","116,596,136","130,780,226","128,812,286","127,691,746","128,197,666","132,145,056","132,126,401","124,248,653","131,916,988","131,674,089","139,661,002","135,711,442","128,680,257","135,489,852","113,177,680","109,489,291","112,929,447","116,383,547","115,469,299","114,758,269","124,238,482","130,106,834","139,642,523","137,642,618","118,738,662","134,706,690","120,282,556","125,313,214","129,027,869","134,759,971","132,691,225","126,412,966","139,323,731","135,203,327","133,699,121","130,391,919","123,741,078","137,759,074","129,612,386","128,801,688","127,334,963","137,765,829","138,859,474","134,608,029","138,424,730"
Equivalent products production,Cubic metres,"1,304,885","1,218,465","1,300,061","1,269,557","1,288,193","1,260,145","1,382,651","1,314,750","1,328,667","1,214,059","1,340,772","1,385,982","1,428,229","1,283,131","1,451,707","1,396,290","1,540,783","1,464,590","1,655,185","1,592,873","1,651,147","1,850,184","1,844,310","1,927,328","1,885,008","1,699,898","1,988,657","1,840,515","1,863,996","1,843,507","2,027,122","2,128,487","1,997,616","2,217,491","2,144,419","2,205,830","2,069,624","1,827,533","2,079,564","2,097,539","2,168,182","2,061,553","2,118,660","2,221,818","2,124,669","2,187,201","2,229,423","2,246,410","2,091,412","2,077,545","2,202,883","2,162,754","2,135,104","2,067,579","2,097,726","2,070,844","1,965,059","2,244,006","2,151,758","2,165,061","2,149,642","1,908,153","2,247,307","2,199,661","2,240,231","2,088,980","2,225,584","2,236,362","2,111,670","2,221,385","2,248,687","2,227,299","2,228,008","2,063,159","2,317,088","2,260,369","2,312,537","2,146,999","2,385,755","2,345,473","2,239,735","2,461,415"
,Barrels,"8,207,466","7,663,901","8,177,124","7,985,260","8,102,476","7,926,060","8,696,598","8,269,515","8,357,050","7,636,188","8,433,188","8,717,550","8,983,275","8,070,637","9,130,947","8,782,385","9,691,217","9,211,978","10,410,783","10,018,853","10,385,384","11,637,287","11,600,341","12,122,508","11,856,323","10,692,018","12,508,255","11,576,471","11,724,162","11,595,290","12,750,192","13,387,758","12,564,605","13,947,575","13,487,967","13,874,230","13,017,521","11,494,817","13,080,042","13,193,101","13,637,431","12,966,756","13,325,948","13,974,791","13,363,743","13,757,057","14,022,625","14,129,470","13,154,563","13,067,343","13,855,693","13,603,290","13,429,377","13,004,658","13,194,277","13,025,195","12,359,828","14,114,349","13,534,127","13,617,801","13,520,818","12,001,901","14,135,112","13,835,428","14,090,605","13,139,266","13,998,478","14,066,270","13,281,982","13,972,067","14,143,791","14,009,265","14,013,725","12,976,857","14,574,020","14,217,269","14,545,395","13,504,194","15,005,922","14,752,556","14,087,485","15,481,808"
Imports 3,Cubic metres,"3,949,015","3,157,953","4,383,555","4,218,647","4,491,754","4,072,114","4,671,124","4,307,957","3,263,943","3,134,153","3,697,764","3,605,053","4,296,920","3,726,003","3,828,091","4,132,558","4,778,081","4,452,888","4,356,598","3,187,948","3,742,173","3,622,706","3,501,596","4,054,066","3,913,830","3,645,381","3,970,323","3,660,995","4,060,075","3,596,401","3,999,030","4,417,272","3,515,819","3,115,687","2,772,496","3,389,480","4,416,603","3,990,040","4,221,106","4,652,262","5,456,943","3,464,141","4,770,400","5,152,707","4,253,811","4,498,610","4,563,337","4,114,288","5,497,132","4,272,493","4,069,376","2,709,855","2,443,199","2,845,134","3,206,911","2,590,945","3,154,387","3,368,414","3,651,372","4,056,342","3,469,446","2,862,250","3,578,867","3,714,092","3,652,955","3,089,038","3,702,462","3,620,903","2,973,665","2,886,055","3,374,976","3,861,111","3,044,831","3,206,413","3,730,763","3,315,717","3,557,119","3,853,814","3,978,149","3,937,020","3,162,681","3,699,216"
,Barrels,"24,838,515","19,862,893","27,571,684","26,534,446","28,252,234","25,612,783","29,380,436","27,096,188","20,529,549","19,713,196","23,258,196","22,675,062","27,026,767","23,435,814","24,077,927","25,992,963","30,053,174","28,007,775","27,402,130","20,051,555","23,537,520","22,786,096","22,024,339","25,499,264","24,617,208","22,928,717","24,972,538","23,026,926","25,537,060","22,620,643","25,153,099","27,783,757","22,113,798","19,597,048","17,438,445","21,319,151","27,779,550","25,096,554","26,549,913","29,261,798","34,323,080","21,788,754","30,004,862","32,409,496","26,755,620","28,295,357","28,702,477","25,878,049","34,575,861","26,873,126","25,595,561","17,044,446","15,367,233","17,895,324","20,170,829","16,296,526","19,840,463","21,186,650","22,966,400","25,513,580","21,822,121","18,002,980","22,510,358","23,360,896","22,976,356","19,429,431","23,287,745","22,774,756","18,703,758","18,152,709","21,227,924","24,285,616","19,151,378","20,167,696","23,465,753","20,855,197","22,373,567","24,239,719","25,021,762","24,763,068","19,892,631","23,267,329"
Exports 4,Cubic metres,"16,439,292","14,740,817","15,547,041","14,069,660","13,998,905","13,335,696","13,747,030","15,578,325","14,785,189","15,245,116","16,320,837","16,803,929","16,699,380","15,289,511","16,611,271","16,196,764","16,864,265","15,705,404","16,121,600","16,019,109","15,564,792","16,172,912","15,039,104","16,258,090","17,438,326","15,844,538","17,898,672","17,863,995","18,424,767","17,371,017","17,496,198","17,935,298","16,879,788","17,906,840","18,216,664","18,596,917","19,079,599","15,955,372","18,376,746","18,048,213","18,929,063","18,700,244","19,568,519","18,702,085","17,439,259","17,933,006","17,038,048","19,616,286","19,518,347","18,805,992","19,848,989","16,832,608","16,237,413","16,037,720","17,582,128","16,938,606","15,928,409","17,538,376","17,827,214","18,630,175","19,310,188","16,475,423","18,133,474","17,431,032","18,365,342","17,462,089","18,941,731","18,378,420","17,262,844","18,169,533","18,614,751","19,553,313","19,555,965","17,036,539","19,122,429","17,845,677","18,952,405","17,995,938","19,212,915","18,898,396","18,874,833","18,819,393"
,Barrels,"103,399,859","92,716,791","97,787,778","88,495,347","88,050,313","83,878,861","86,466,069","97,984,549","92,995,882","95,888,731","102,654,801","105,693,353","105,035,760","96,167,966","104,481,572","101,874,406","106,072,854","98,783,850","101,401,640","100,756,992","97,899,429","101,724,382","94,592,956","102,260,134","109,683,583","99,658,975","112,579,067","112,360,956","115,888,099","109,260,223","110,047,586","112,809,437","106,170,491","112,630,442","114,579,173","116,970,889","120,006,862","100,356,099","115,586,057","113,519,650","119,060,020","117,620,795","123,082,071","117,632,374","109,689,451","112,795,021","107,165,914","123,382,516","122,766,499","118,285,928","124,846,171","105,873,738","102,130,080","100,874,051","110,588,069","106,540,444","100,186,507","110,312,877","112,129,611","117,180,075","121,457,220","103,627,116","114,055,925","109,637,705","115,514,328","109,833,047","119,139,700","115,596,586","108,579,836","114,282,729","117,083,061","122,986,428","123,003,109","107,156,423","120,276,254","112,245,739","119,206,837","113,190,851","120,845,393","118,867,131","118,718,925","118,370,218"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
