Date,Forecast
2021-05-31,18031409.46242197
2021-06-30,18061503.99367682
2021-07-31,18091598.52493167
2021-08-31,18121693.05618652
2021-09-30,18151787.58744137
2021-10-31,18181882.11869622
2021-11-30,18211976.64995107
2021-12-31,18242071.18120592
2022-01-31,18272165.71246077
2022-02-28,18302260.24371562
2022-03-31,18332354.77497047
2022-04-30,18362449.306225322
2022-05-31,18392543.837480173
2022-06-30,18422638.368735023
2022-07-31,18452732.899989873
2022-08-31,18482827.431244723
2022-09-30,18512921.962499574
2022-10-31,18543016.493754424
2022-11-30,18573111.025009274
2022-12-31,18603205.556264125
2023-01-31,18633300.087518975
2023-02-28,18663394.618773825
2023-03-31,18693489.150028676
2023-04-30,18723583.681283526
2023-05-31,18753678.212538376
2023-06-30,18783772.743793227
2023-07-31,18813867.275048077
2023-08-31,18843961.806302927
2023-09-30,18874056.337557778
2023-10-31,18904150.868812628
2023-11-30,18934245.40006748
2023-12-31,18964339.93132233
2024-01-31,18994434.46257718
2024-02-29,19024528.99383203
2024-03-31,19054623.52508688
2024-04-30,19084718.05634173
2024-05-31,19114812.58759658
2024-06-30,19144907.11885143
2024-07-31,19175001.65010628
2024-08-31,19205096.18136113
2024-09-30,19235190.71261598
2024-10-31,19265285.243870832
2024-11-30,19295379.775125682
2024-12-31,19325474.306380533
2025-01-31,19355568.837635383
2025-02-28,19385663.368890233
2025-03-31,19415757.900145084
2025-04-30,19445852.431399934
2025-05-31,19475946.962654784
2025-06-30,19506041.493909635
2025-07-31,19536136.025164485
2025-08-31,19566230.556419335
2025-09-30,19596325.087674186
2025-10-31,19626419.618929036
2025-11-30,19656514.150183886
2025-12-31,19686608.681438737
2026-01-31,19716703.212693587
2026-02-28,19746797.743948437
2026-03-31,19776892.275203288
2026-04-30,19806986.806458138
2026-05-31,19837081.33771299
2026-06-30,19867175.86896784
2026-07-31,19897270.40022269
2026-08-31,19927364.93147754
2026-09-30,19957459.46273239
2026-10-31,19987553.99398724
2026-11-30,20017648.52524209
2026-12-31,20047743.05649694
2027-01-31,20077837.58775179
2027-02-28,20107932.11900664
2027-03-31,20138026.65026149
2027-04-30,20168121.181516342
