Date,Forecast
2021-05-31,20376274.135157444
2021-06-30,20643476.80097245
2021-07-31,20809417.74909487
2021-08-31,20920179.124860387
2021-09-30,21000872.027812377
2021-10-31,21065180.007527012
2021-11-30,21120559.508859694
2021-12-31,21171073.700476717
2022-01-31,21218936.68573845
2022-02-28,21265354.974660367
2022-03-31,21310986.01912274
2022-04-30,21356188.078045387
2022-05-31,21401156.37401034
2022-06-30,21445997.287778616
2022-07-31,21490768.78839355
2022-08-31,21535502.464367494
2022-09-30,21580215.528924193
2022-10-31,21624917.361899845
2022-11-30,21669613.074558232
2022-12-31,21714305.45213109
2023-01-31,21758996.012347914
2023-02-28,21803685.582250427
2023-03-31,21848374.6125105
2023-04-30,21893063.348708414
2023-05-31,21937751.924665872
2023-06-30,21982440.41330504
2023-07-31,22027128.854362693
2023-08-31,22071817.26949221
2023-09-30,22116505.67049296
2023-10-31,22161194.063794654
2023-11-30,22205882.452900976
2023-12-31,22250570.839721154
2024-01-31,22295259.225295566
2024-02-29,22339947.610191137
2024-03-31,22384635.99471679
2024-04-30,22429324.37904087
2024-05-31,22474012.76325511
2024-06-30,22518701.14740949
2024-07-31,22563389.53153126
2024-08-31,22608077.915635254
2024-09-30,22652766.299729563
2024-10-31,22697454.683818594
2024-11-30,22742143.067904748
2024-12-31,22786831.451989334
2025-01-31,22831519.836073067
2025-02-28,22876208.220156334
2025-03-31,22920896.60423935
2025-04-30,22965584.988322224
2025-05-31,23010273.372405026
2025-06-30,23054961.756487787
2025-07-31,23099650.140570525
2025-08-31,23144338.524653252
2025-09-30,23189026.908735972
2025-10-31,23233715.292818688
2025-11-30,23278403.6769014
2025-12-31,23323092.060984112
2026-01-31,23367780.445066825
2026-02-28,23412468.829149537
2026-03-31,23457157.21323225
2026-04-30,23501845.59731496
2026-05-31,23546533.981397673
2026-06-30,23591222.365480386
2026-07-31,23635910.749563098
2026-08-31,23680599.13364581
2026-09-30,23725287.517728522
2026-10-31,23769975.901811235
2026-11-30,23814664.285893947
2026-12-31,23859352.66997666
2027-01-31,23904041.05405937
2027-02-28,23948729.438142084
2027-03-31,23993417.822224796
2027-04-30,24038106.206307508
