DATE,GASOLINE,DIESEL,Production-OIL,Imports,Exports,Equivalent Products Production
01/01/2016,0.96,0.95,18671861,3949015,16439292,1304885
01/02/2016,0.9,0.89,17350331,3157953,14740817,1218465
01/03/2016,0.97,0.93,18216851,4383555,15547041,1300061
01/04/2016,1.02,0.91,15965471,4218647,14069660,1269557
01/05/2016,1.07,0.96,13479770,4491754,13998905,1288193
01/06/2016,1.09,1.01,14435436,4072114,13335696,1260145
01/07/2016,1.04,1,17587983,4671124,13747030,1382651
01/08/2016,1.04,0.97,18598656,4307957,15578325,1314750
01/09/2016,1.05,0.98,17910062,3263943,14785189,1328667
01/10/2016,1.08,1.03,18815685,3134153,15245116,1214059
01/11/2016,1.02,1.03,19325313,3697764,16320837,1340772
01/12/2016,1.09,1.07,19123733,3605053,16803929,1385982
01/01/2017,1.14,1.11,19787214,4296920,16699380,1428229
01/02/2017,1.09,1.1,18026165,3726003,15289511,1283131
01/03/2017,1.1,1.09,18894074,3828091,16611271,1451707
01/04/2017,1.18,1.09,16637247,4132558,16196764,1396290
01/05/2017,1.14,1.07,17767171,4778081,16864265,1540783
01/06/2017,1.09,1.05,17710184,4452888,15705404,1464590
01/07/2017,1.1,1.03,19203977,4356598,16121600,1655185
01/08/2017,1.13,1.05,20061663,3187948,16019109,1592873
01/09/2017,1.18,1.09,18374732,3742173,15564792,1651147
01/10/2017,1.16,1.12,18749360,3622706,16172912,1850184
01/11/2017,1.23,1.2,19689051,3501596,15039104,1844310
01/12/2017,1.2,1.22,20683576,4054066,16258090,1927328
01/01/2018,1.24,1.25,19890527,3913830,17438326,1885008
01/02/2018,1.23,1.25,18639271,3645381,15844538,1699898
01/03/2018,1.27,1.25,20730877,3970323,17898672,1988657
01/04/2018,1.35,1.27,18548461,3660995,17863995,1840515
01/05/2018,1.39,1.32,20181597,4060075,18424767,1863996
01/06/2018,1.36,1.33,19455841,3596401,17371017,1843507
01/07/2018,1.37,1.31,20654968,3999030,17496198,2027122
01/08/2018,1.34,1.28,21659666,4417272,17935298,2128487
01/09/2018,1.34,1.3,19271848,3515819,16879788,1997616
01/10/2018,1.29,1.33,21267181,3115687,17906840,2217491
01/11/2018,1.16,1.32,20903287,2772496,18216664,2144419
01/12/2018,1.09,1.22,21687084,3389480,18596917,2205830
01/01/2019,1.07,1.17,20379646,4416603,19079599,2069624
01/02/2019,1.1,1.19,18537336,3990040,15955372,1827533
01/03/2019,1.22,1.23,20792430,4221106,18376746,2079564
01/04/2019,1.33,1.27,20479552,4652262,18048213,2097539
01/05/2019,1.34,1.29,20301400,5456943,18929063,2168182
01/06/2019,1.22,1.22,20381835,3464141,18700244,2061553
01/07/2019,1.27,1.19,21009421,4770400,19568519,2118660
01/08/2019,1.21,1.18,21006455,5152707,18702085,2221818
01/09/2019,1.2,1.2,19753991,4253811,17439259,2124669
01/10/2019,1.21,1.25,20973161,4498610,17933006,2187201
01/11/2019,1.18,1.28,20934543,4563337,17038048,2229423
01/12/2019,1.17,1.28,22204363,4114288,19616286,2246410
01/01/2020,1.17,1.28,21576432,5497132,19518347,2091412
01/02/2020,1.15,1.22,20458561,4272493,18805992,2077545
01/03/2020,0.94,1.08,21541202,4069376,19848989,2202883
01/04/2020,0.8,0.96,17993844,2709855,16832608,2162754
01/05/2020,0.94,0.9,17407436,2443199,16237413,2135104
01/06/2020,1.03,0.95,17954378,2845134,16037720,2067579
01/07/2020,1.08,1,18503537,3206911,17582128,2097726
01/08/2020,1.06,1,18358183,2590945,16938606,2070844
01/09/2020,1.06,0.98,18245138,3154387,15928409,1965059
01/10/2020,1.04,0.99,19752374,3368414,17538376,2244006
01/11/2020,1.04,1.02,20685369,3651372,17827214,2151758
01/12/2020,1.07,1.07,22201425,4056342,18630175,2165061
01/01/2021,1.13,1.11,21883465,3469446,19310188,2149642
01/02/2021,1.2,1.16,18877971,2862250,16475423,1908153
01/03/2021,1.27,1.22,21416689,3578867,18133474,2247307
01/04/2021,1.3,1.24,19123431,3714092,17431032,2199661
01/05/2021,1.33,1.26,19923243,3652955,18365342,2240231
01/06/2021,1.37,1.29,20513827,3089038,17462089,2088980
01/07/2021,1.42,1.31,21425160,3702462,18941731,2225584
01/08/2021,1.41,1.32,21096255,3620903,18378420,2236362
01/09/2021,1.4,1.34,20098090,2973665,17262844,2111670
01/10/2021,1.48,1.45,22150741,2886055,18169533,2221385
01/11/2021,1.46,1.46,21495648,3374976,18614751,2248687
01/12/2021,1.42,1.45,21256498,3861111,19553313,2227299
01/01/2022,1.5,1.53,20730694,3044831,19555965,2228008
01/02/2022,1.61,1.63,19673293,3206413,17036539,2063159
01/03/2022,1.81,1.97,21901980,3730763,19122429,2317088
01/04/2022,1.76,1.96,20606758,3315717,17845677,2260369
01/05/2022,1.98,2.22,20477867,3557119,18952405,2312537
01/06/2022,2.1,2.25,20244676,3853814,17995938,2146999
01/07/2022,1.89,2.01,21903054,3978149,19212915,2385755
01/08/2022,1.72,1.88,22076930,3937020,18898396,2345473
01/09/2022,1.59,1.9,21401003,3162681,18874833,2239735
01/10/2022,1.74,2.18,22007811,3699216,18819393,2461415
